SR.NO.,H2,CH4,C2H2,C2H4,C2H6,CO,CO2
0,32930,2397,0,0,157,313,560
1,37800,1740,8,8,249,56,197
2,92600,10200,0,0,0,6400,103151
3,8266,1061,0,0,22,107,498
4,9340,995,7,6,60,60,620
5,36036,4704,10,5,554,6,347
6,33046,619,0,2,58,51,1
7,40280,1069,1,1,1060,1,0
8,78,20,28,13,11,0,784
9,305,100,541,161,33,440,3700
10,35,6,482,26,3,200,2240
11,543,120,1880,411,41,76,2800
12,1230,163,692,233,27,130,115
13,645,86,317,110,13,74,114
14,60,10,4,4,4,780,7600
15,95,10,39,11,0,122,467
16,6870,1028,5500,900,79,29,388
17,10092,5399,37565,6500,530,42,413
18,650,81,270,51,170,380,2000
19,210,22,7,6,6,19,74
20,385,60,159,53,8,465,1250
21,4230,690,1180,196,5,438,791
22,7600,1230,1560,836,318,4970,4080
23,595,80,244,89,9,524,2100
24,120,25,40,8,1,500,1600
25,8,0,101,43,0,192,4067
26,6454,2313,6432,2159,121,3628,225
27,2177,1049,705,440,207,4571,3923
28,1790,580,619,336,321,956,4250
29,1330,10,182,66,20,231,1820
30,4,1,52,7,2,93,519
31,1900,285,7730,957,31,681,732
32,57,24,30,27,2,540,2518
33,440,89,757,304,19,299,1190
34,210,43,187,102,12,167,1070
35,2850,1115,3675,1987,138,2330,4330
36,7020,1850,4410,2960,0,2140,1000
37,545,130,239,153,16,660,2850
38,7150,1440,1760,1210,97,608,2260
39,620,325,244,181,38,1480,2530
40,120,31,94,66,0,48,271
41,755,229,460,404,32,845,5580
42,5100,1430,1010,1140,0,117,197
43,13500,6110,4040,4510,212,8690,1460
44,1570,1110,1830,1780,175,135,602
45,3090,5020,2540,3800,323,270,400
46,1820,405,634,365,35,1010,8610
47,535,160,680,305,16,172,338
48,13,3,6,3,1,4,51
49,137,67,104,53,7,196,1678
50,1084,188,769,166,8,38,199
51,34,21,56,49,4,95,315
52,7940,2000,5390,3120,355,1130,285
53,150,130,30,55,9,120,200
54,8200,3790,5830,4620,250,31,85
55,260,215,277,334,35,130,416
56,75,15,26,14,7,105,322
57,530,345,250,266,85,3900,20000
58,60,5,21,21,2,188,2510
59,90,28,32,31,8,1380,11700
60,220,77,240,170,22,1800,13800
61,5900,1500,2300,1200,68,750,335
62,420,250,800,530,41,300,751
63,2800,2800,3600,3500,234,92,718
64,99,170,190,200,20,140,1160
65,310,230,760,610,54,150,631
66,800,160,600,260,23,490,690
67,1500,395,323,395,28,365,576
68,20000,13000,57000,29000,1850,2600,2430
69,305,85,130,197,25,813,8380
70,1900,530,434,383,35,1890,7570
71,110,62,250,140,90,680,6470
72,3700,1690,3270,2810,128,22,86
73,2770,660,763,712,54,522,1490
74,245,120,167,131,18,829,4250
75,1170,255,325,312,18,5,1800
76,4419,3564,2025,2861,668,909,9082
77,810,580,490,570,111,1100,6800
78,5000,1200,1100,1000,83,140,265
79,10000,6730,10400,7330,345,1980,3830
80,1270,3450,8,1390,520,483,44500
81,3420,7870,33,6990,1500,573,4640
82,360,610,9,260,259,12000,74200
83,1,27,1,4,49,53,254
84,3675,6392,5,7691,2500,101,833
85,48,610,0,10,29,1900,970
86,12,18,0,4,4,559,1710
87,66,60,0,7,2,76,90
88,1450,940,61,322,211,2420,3560
89,0,18900,330,540,410,3900,710
90,960,4000,6,1560,1290,15800,50300
91,24700,61000,1560,42100,26300,14400,30400
92,14,44,1,7,124,128,2746
93,2031,149,0,3,20,556,3008
94,480,1075,0,1132,298,464,1000
95,40000,400,6,600,70,800,218
96,8800,64064,0,95650,72128,290,90300
97,6709,10500,750,17700,1400,290,1500
98,1100,1600,26,2010,221,0,1430
99,290,966,57,1810,299,72,756
100,2500,10500,6,13500,4790,530,2310
101,1860,4980,1600,10700,0,158,1300
102,860,1670,40,2050,30,10,690
103,150,22,11,60,9,0,0
104,400,940,24,820,210,390,1700
105,6,2990,67,26076,29990,6,26
106,100,200,11,670,110,100,650
107,290,1260,8,820,231,228,826
108,1550,2740,184,5450,816,1140,9360
109,3910,4290,1230,6040,626,1800,11500
110,12705,23498,5188,34257,6047,4004,8539
111,1,8,6,100,8,300,5130
112,300,700,36,1700,280,760,9250
